Running pytorch 2.2.0+cu121
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.1
wandb: Run data is saved locally in /workspace/arena/wandb/run-20240918_091656-k1wr447g
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run peach-dust-59
wandb: ⭐️ View project at https://wandb.ai/alexandretl/arena
wandb: 🚀 View run at https://wandb.ai/alexandretl/arena/runs/k1wr447g
DataLoader: total number of tokens: 10,255,324,043 across 103 files
DataLoader: total number of tokens: 100,000,000 across 1 files
Model initialized. Number of parameters : 123532032.
compiling the model...
/usr/local/lib/python3.10/dist-packages/torch/_inductor/compile_fx.py:140: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
val loss 10.990180015563965
step    1/8200 | train loss 10.988741 | lr 9.00e-06 | (22094.12 ms | 742 tok/s)
step    2/8200 | train loss 10.912488 | lr 1.80e-05 | (3931.83 ms | 4167 tok/s)
step    3/8200 | train loss 10.794245 | lr 2.70e-05 | (3934.77 ms | 4164 tok/s)
step    4/8200 | train loss 10.651027 | lr 3.60e-05 | (3937.43 ms | 4161 tok/s)
step    5/8200 | train loss 10.517965 | lr 4.50e-05 | (3940.00 ms | 4158 tok/s)
step    6/8200 | train loss 10.338555 | lr 5.40e-05 | (3939.85 ms | 4159 tok/s)
step    7/8200 | train loss 10.206773 | lr 6.30e-05 | (3942.80 ms | 4155 tok/s)
step    8/8200 | train loss 9.927058 | lr 7.20e-05 | (3943.37 ms | 4155 tok/s)
step    9/8200 | train loss 9.759691 | lr 8.10e-05 | (3944.86 ms | 4153 tok/s)
step   10/8200 | train loss 9.523268 | lr 9.00e-05 | (3944.01 ms | 4154 tok/s)
step   11/8200 | train loss 9.427287 | lr 9.90e-05 | (3943.54 ms | 4155 tok/s)
step   12/8200 | train loss 9.324127 | lr 1.08e-04 | (3943.70 ms | 4154 tok/s)
step   13/8200 | train loss 9.202043 | lr 1.17e-04 | (3944.56 ms | 4154 tok/s)
step   14/8200 | train loss 9.080154 | lr 1.26e-04 | (3946.05 ms | 4152 tok/s)
step   15/8200 | train loss 9.015581 | lr 1.35e-04 | (3946.98 ms | 4151 tok/s)
step   16/8200 | train loss 8.897438 | lr 1.44e-04 | (3946.69 ms | 4151 tok/s)
step   17/8200 | train loss 8.814076 | lr 1.53e-04 | (3945.83 ms | 4152 tok/s)
step   18/8200 | train loss 8.711290 | lr 1.62e-04 | (3946.91 ms | 4151 tok/s)
step   19/8200 | train loss 8.635927 | lr 1.71e-04 | (3946.56 ms | 4151 tok/s)
step   20/8200 | train loss 8.483282 | lr 1.80e-04 | (3947.37 ms | 4151 tok/s)
step   21/8200 | train loss 8.399851 | lr 1.89e-04 | (3947.33 ms | 4151 tok/s)
step   22/8200 | train loss 8.278896 | lr 1.98e-04 | (3946.43 ms | 4152 tok/s)
step   23/8200 | train loss 8.118838 | lr 2.07e-04 | (3946.97 ms | 4151 tok/s)
step   24/8200 | train loss 8.023661 | lr 2.16e-04 | (3946.88 ms | 4151 tok/s)
step   25/8200 | train loss 7.885166 | lr 2.25e-04 | (3945.70 ms | 4152 tok/s)
step   26/8200 | train loss 7.838273 | lr 2.34e-04 | (3945.55 ms | 4153 tok/s)
step   27/8200 | train loss 7.714218 | lr 2.43e-04 | (3947.12 ms | 4151 tok/s)
step   28/8200 | train loss 7.613747 | lr 2.52e-04 | (3947.74 ms | 4150 tok/s)
step   29/8200 | train loss 7.572700 | lr 2.61e-04 | (3946.36 ms | 4152 tok/s)
step   30/8200 | train loss 7.477325 | lr 2.70e-04 | (3947.12 ms | 4151 tok/s)
step   31/8200 | train loss 7.428344 | lr 2.79e-04 | (3947.30 ms | 4151 tok/s)
step   32/8200 | train loss 7.303286 | lr 2.88e-04 | (3947.76 ms | 4150 tok/s)
step   33/8200 | train loss 7.258923 | lr 2.97e-04 | (3948.52 ms | 4149 tok/s)
step   34/8200 | train loss 7.206955 | lr 3.06e-04 | (3949.14 ms | 4149 tok/s)
step   35/8200 | train loss 7.230745 | lr 3.15e-04 | (3948.77 ms | 4149 tok/s)
step   36/8200 | train loss 7.146345 | lr 3.24e-04 | (3948.84 ms | 4149 tok/s)
step   37/8200 | train loss 7.095823 | lr 3.33e-04 | (3949.85 ms | 4148 tok/s)
step   38/8200 | train loss 7.061095 | lr 3.42e-04 | (3950.18 ms | 4148 tok/s)
step   39/8200 | train loss 7.062041 | lr 3.51e-04 | (3950.74 ms | 4147 tok/s)
step   40/8200 | train loss 6.987225 | lr 3.60e-04 | (3951.27 ms | 4147 tok/s)
step   41/8200 | train loss 6.945075 | lr 3.69e-04 | (3951.65 ms | 4146 tok/s)
step   42/8200 | train loss 6.972232 | lr 3.78e-04 | (3951.92 ms | 4146 tok/s)
step   43/8200 | train loss 6.958806 | lr 3.87e-04 | (3951.59 ms | 4146 tok/s)
step   44/8200 | train loss 6.899014 | lr 3.96e-04 | (3953.30 ms | 4144 tok/s)
step   45/8200 | train loss 6.889622 | lr 4.05e-04 | (3952.09 ms | 4146 tok/s)
step   46/8200 | train loss 6.857866 | lr 4.14e-04 | (3952.34 ms | 4145 tok/s)
step   47/8200 | train loss 6.855814 | lr 4.23e-04 | (3950.96 ms | 4147 tok/s)
step   48/8200 | train loss 6.823523 | lr 4.32e-04 | (3953.28 ms | 4144 tok/s)
step   49/8200 | train loss 6.776530 | lr 4.41e-04 | (3953.23 ms | 4144 tok/s)
step   50/8200 | train loss 6.756201 | lr 4.50e-04 | (3953.00 ms | 4145 tok/s)
step   51/8200 | train loss 6.663776 | lr 4.59e-04 | (3955.56 ms | 4142 tok/s)
step   52/8200 | train loss 6.704656 | lr 4.68e-04 | (3955.33 ms | 4142 tok/s)
step   53/8200 | train loss 6.674362 | lr 4.77e-04 | (3955.66 ms | 4142 tok/s)
step   54/8200 | train loss 6.666781 | lr 4.86e-04 | (3956.64 ms | 4141 tok/s)
step   55/8200 | train loss 6.628553 | lr 4.95e-04 | (3955.87 ms | 4142 tok/s)
step   56/8200 | train loss 6.550574 | lr 5.04e-04 | (3956.45 ms | 4141 tok/s)
step   57/8200 | train loss 6.565482 | lr 5.13e-04 | (3955.85 ms | 4142 tok/s)
step   58/8200 | train loss 6.558133 | lr 5.22e-04 | (3955.65 ms | 4142 tok/s)
step   59/8200 | train loss 6.503211 | lr 5.31e-04 | (3958.40 ms | 4139 tok/s)
step   60/8200 | train loss 6.490850 | lr 5.40e-04 | (3958.58 ms | 4139 tok/s)
step   61/8200 | train loss 6.515416 | lr 5.49e-04 | (3958.64 ms | 4139 tok/s)
step   62/8200 | train loss 6.457860 | lr 5.58e-04 | (3958.20 ms | 4139 tok/s)
step   63/8200 | train loss 6.553563 | lr 5.67e-04 | (3958.44 ms | 4139 tok/s)
step   64/8200 | train loss 6.428977 | lr 5.76e-04 | (3957.76 ms | 4140 tok/s)
val loss 6.538759708404541
step   65/8200 | train loss 6.403536 | lr 5.85e-04 | (6620.58 ms | 2475 tok/s)
step   66/8200 | train loss 6.400589 | lr 5.94e-04 | (3960.20 ms | 4137 tok/s)
step   67/8200 | train loss 6.443583 | lr 6.03e-04 | (3960.68 ms | 4137 tok/s)
step   68/8200 | train loss 6.428602 | lr 6.12e-04 | (3961.06 ms | 4136 tok/s)
step   69/8200 | train loss 6.387649 | lr 6.21e-04 | (3961.12 ms | 4136 tok/s)
step   70/8200 | train loss 6.366267 | lr 6.30e-04 | (3962.23 ms | 4135 tok/s)
step   71/8200 | train loss 6.347835 | lr 6.39e-04 | (3961.62 ms | 4136 tok/s)
step   72/8200 | train loss 6.292160 | lr 6.48e-04 | (3961.45 ms | 4136 tok/s)
