Running pytorch 2.2.0+cu121
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.1
wandb: Run data is saved locally in /workspace/arena/wandb/run-20240919_062250-mhxrp6xu
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run earthy-morning-89
wandb: ⭐️ View project at https://wandb.ai/alexandretl/arena
wandb: 🚀 View run at https://wandb.ai/alexandretl/arena/runs/mhxrp6xu
DataLoader: total number of tokens: 10,255,324,043 across 103 files
DataLoader: total number of tokens: 100,000,000 across 1 files
Model initialized. Number of parameters : 123532032.
GPT(
  (transformer): ModuleDict(
    (wte): Embedding(50257, 768)
    (h): ModuleList(
      (0-11): 12 x Block(
        (attn): CausalSelfAttention(
          (c_attn): Linear(in_features=768, out_features=2304, bias=False)
          (c_proj): Linear(in_features=768, out_features=768, bias=False)
          (rotary): Rotary()
        )
        (mlp): MLP(
          (fc_1): Linear(in_features=768, out_features=2048, bias=False)
          (fc_2): Linear(in_features=2048, out_features=768, bias=False)
          (fc_3): Linear(in_features=768, out_features=2048, bias=False)
        )
      )
    )
  )
  (lm_head): Linear(in_features=768, out_features=50257, bias=False)
)
compiling the model...
/usr/local/lib/python3.10/dist-packages/torch/_inductor/compile_fx.py:140: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
val loss 10.990180015563965
step    1/8200 | train loss 10.988734 | lr 9.00e-06 | (57010.80 ms | 287 tok/s)
step    2/8200 | train loss 10.912502 | lr 1.80e-05 | (3933.86 ms | 4165 tok/s)
step    3/8200 | train loss 10.794249 | lr 2.70e-05 | (3935.69 ms | 4163 tok/s)
step    4/8200 | train loss 10.651020 | lr 3.60e-05 | (3936.11 ms | 4162 tok/s)
step    5/8200 | train loss 10.517960 | lr 4.50e-05 | (3938.20 ms | 4160 tok/s)
step    6/8200 | train loss 10.338544 | lr 5.40e-05 | (3939.22 ms | 4159 tok/s)
step    7/8200 | train loss 10.206788 | lr 6.30e-05 | (3944.54 ms | 4154 tok/s)
step    8/8200 | train loss 9.927044 | lr 7.20e-05 | (3945.24 ms | 4153 tok/s)
step    9/8200 | train loss 9.759672 | lr 8.10e-05 | (3946.02 ms | 4152 tok/s)
step   10/8200 | train loss 9.523261 | lr 9.00e-05 | (3943.47 ms | 4155 tok/s)
step   11/8200 | train loss 9.427266 | lr 9.90e-05 | (3944.77 ms | 4153 tok/s)
step   12/8200 | train loss 9.324160 | lr 1.08e-04 | (3945.47 ms | 4153 tok/s)
val loss 9.23609447479248
step   13/8200 | train loss 9.202044 | lr 1.17e-04 | (6587.21 ms | 2487 tok/s)
step   14/8200 | train loss 9.080180 | lr 1.26e-04 | (3944.73 ms | 4153 tok/s)
step   15/8200 | train loss 9.015574 | lr 1.35e-04 | (3944.89 ms | 4153 tok/s)
step   16/8200 | train loss 8.897433 | lr 1.44e-04 | (3946.00 ms | 4152 tok/s)
step   17/8200 | train loss 8.814055 | lr 1.53e-04 | (3944.79 ms | 4153 tok/s)
step   18/8200 | train loss 8.711296 | lr 1.62e-04 | (3944.62 ms | 4154 tok/s)
step   19/8200 | train loss 8.635899 | lr 1.71e-04 | (3943.86 ms | 4154 tok/s)
step   20/8200 | train loss 8.483287 | lr 1.80e-04 | (3944.55 ms | 4154 tok/s)
step   21/8200 | train loss 8.399843 | lr 1.89e-04 | (3943.98 ms | 4154 tok/s)
step   22/8200 | train loss 8.278879 | lr 1.98e-04 | (3945.20 ms | 4153 tok/s)
step   23/8200 | train loss 8.118825 | lr 2.07e-04 | (3947.25 ms | 4151 tok/s)
step   24/8200 | train loss 8.023652 | lr 2.16e-04 | (3943.87 ms | 4154 tok/s)
val loss 7.983956813812256
step   25/8200 | train loss 7.885143 | lr 2.25e-04 | (6580.56 ms | 2490 tok/s)
step   26/8200 | train loss 7.838242 | lr 2.34e-04 | (3952.68 ms | 4145 tok/s)
step   27/8200 | train loss 7.714207 | lr 2.43e-04 | (3942.01 ms | 4156 tok/s)
step   28/8200 | train loss 7.613750 | lr 2.52e-04 | (3946.22 ms | 4152 tok/s)
step   29/8200 | train loss 7.572719 | lr 2.61e-04 | (3950.97 ms | 4147 tok/s)
step   30/8200 | train loss 7.477332 | lr 2.70e-04 | (3952.09 ms | 4146 tok/s)
step   31/8200 | train loss 7.428354 | lr 2.79e-04 | (3952.33 ms | 4145 tok/s)
step   32/8200 | train loss 7.303289 | lr 2.88e-04 | (3950.52 ms | 4147 tok/s)
step   33/8200 | train loss 7.258930 | lr 2.97e-04 | (3952.14 ms | 4146 tok/s)
step   34/8200 | train loss 7.206951 | lr 3.06e-04 | (3952.43 ms | 4145 tok/s)
step   35/8200 | train loss 7.230755 | lr 3.15e-04 | (3950.39 ms | 4147 tok/s)
step   36/8200 | train loss 7.146341 | lr 3.24e-04 | (3951.58 ms | 4146 tok/s)
val loss 7.1884002685546875
step   37/8200 | train loss 7.095809 | lr 3.33e-04 | (6603.64 ms | 2481 tok/s)
step   38/8200 | train loss 7.061050 | lr 3.42e-04 | (3951.95 ms | 4146 tok/s)
step   39/8200 | train loss 7.061944 | lr 3.51e-04 | (3950.69 ms | 4147 tok/s)
step   40/8200 | train loss 6.987157 | lr 3.60e-04 | (3951.95 ms | 4146 tok/s)
step   41/8200 | train loss 6.944829 | lr 3.69e-04 | (3953.59 ms | 4144 tok/s)
step   42/8200 | train loss 6.971173 | lr 3.78e-04 | (3952.64 ms | 4145 tok/s)
step   43/8200 | train loss 6.958616 | lr 3.87e-04 | (3953.25 ms | 4144 tok/s)
step   44/8200 | train loss 6.893561 | lr 3.96e-04 | (3952.19 ms | 4146 tok/s)
step   45/8200 | train loss 6.887587 | lr 4.05e-04 | (3951.77 ms | 4146 tok/s)
step   46/8200 | train loss 6.852448 | lr 4.14e-04 | (3952.04 ms | 4146 tok/s)
step   47/8200 | train loss 6.855103 | lr 4.23e-04 | (3951.40 ms | 4146 tok/s)
step   48/8200 | train loss 6.814866 | lr 4.32e-04 | (3952.76 ms | 4145 tok/s)
val loss 6.863577365875244
step   49/8200 | train loss 6.776447 | lr 4.41e-04 | (6611.90 ms | 2478 tok/s)
step   50/8200 | train loss 6.750834 | lr 4.50e-04 | (3953.57 ms | 4144 tok/s)
step   51/8200 | train loss 6.661378 | lr 4.59e-04 | (3953.67 ms | 4144 tok/s)
step   52/8200 | train loss 6.702820 | lr 4.68e-04 | (3952.06 ms | 4146 tok/s)
step   53/8200 | train loss 6.670566 | lr 4.77e-04 | (3954.11 ms | 4144 tok/s)
step   54/8200 | train loss 6.665994 | lr 4.86e-04 | (3953.14 ms | 4145 tok/s)
step   55/8200 | train loss 6.624775 | lr 4.95e-04 | (3954.17 ms | 4143 tok/s)
step   56/8200 | train loss 6.549906 | lr 5.04e-04 | (3952.95 ms | 4145 tok/s)
step   57/8200 | train loss 6.564957 | lr 5.13e-04 | (3953.15 ms | 4145 tok/s)
step   58/8200 | train loss 6.557205 | lr 5.22e-04 | (3953.43 ms | 4144 tok/s)
step   59/8200 | train loss 6.501259 | lr 5.31e-04 | (3949.28 ms | 4149 tok/s)
step   60/8200 | train loss 6.491482 | lr 5.40e-04 | (3950.23 ms | 4148 tok/s)
val loss 6.597190856933594
step   61/8200 | train loss 6.513903 | lr 5.49e-04 | (6608.86 ms | 2479 tok/s)
step   62/8200 | train loss 6.456741 | lr 5.58e-04 | (3950.78 ms | 4147 tok/s)
step   63/8200 | train loss 6.553391 | lr 5.67e-04 | (3949.79 ms | 4148 tok/s)
step   64/8200 | train loss 6.426404 | lr 5.76e-04 | (3949.62 ms | 4148 tok/s)
step   65/8200 | train loss 6.402650 | lr 5.85e-04 | (3951.02 ms | 4147 tok/s)
step   66/8200 | train loss 6.401435 | lr 5.94e-04 | (3951.97 ms | 4146 tok/s)
step   67/8200 | train loss 6.440264 | lr 6.03e-04 | (3950.55 ms | 4147 tok/s)
step   68/8200 | train loss 6.426347 | lr 6.12e-04 | (3949.99 ms | 4148 tok/s)
step   69/8200 | train loss 6.385115 | lr 6.21e-04 | (3951.41 ms | 4146 tok/s)
step   70/8200 | train loss 6.359812 | lr 6.30e-04 | (3950.42 ms | 4147 tok/s)
step   71/8200 | train loss 6.348624 | lr 6.39e-04 | (3950.73 ms | 4147 tok/s)
step   72/8200 | train loss 6.288136 | lr 6.48e-04 | (3950.63 ms | 4147 tok/s)
val loss 6.402597904205322
step   73/8200 | train loss 6.351186 | lr 6.57e-04 | (6599.06 ms | 2483 tok/s)
step   74/8200 | train loss 6.263130 | lr 6.66e-04 | (3950.65 ms | 4147 tok/s)
step   75/8200 | train loss 6.296916 | lr 6.75e-04 | (3951.12 ms | 4147 tok/s)
step   76/8200 | train loss 6.242394 | lr 6.84e-04 | (3949.94 ms | 4148 tok/s)
step   77/8200 | train loss 6.306089 | lr 6.93e-04 | (3949.73 ms | 4148 tok/s)
step   78/8200 | train loss 6.300650 | lr 7.02e-04 | (3953.05 ms | 4145 tok/s)
step   79/8200 | train loss 6.069676 | lr 7.11e-04 | (3951.84 ms | 4146 tok/s)
step   80/8200 | train loss 6.211055 | lr 7.20e-04 | (3952.50 ms | 4145 tok/s)
step   81/8200 | train loss 6.209688 | lr 7.29e-04 | (3950.78 ms | 4147 tok/s)
step   82/8200 | train loss 6.354774 | lr 7.38e-04 | (3950.07 ms | 4148 tok/s)
step   83/8200 | train loss 6.233735 | lr 7.47e-04 | (3949.86 ms | 4148 tok/s)
step   84/8200 | train loss 6.225552 | lr 7.56e-04 | (3952.49 ms | 4145 tok/s)
val loss 6.289085388183594
step   85/8200 | train loss 6.183957 | lr 7.65e-04 | (6598.94 ms | 2483 tok/s)
step   86/8200 | train loss 6.143940 | lr 7.74e-04 | (3950.97 ms | 4147 tok/s)
step   87/8200 | train loss 6.161877 | lr 7.83e-04 | (3951.37 ms | 4146 tok/s)
step   88/8200 | train loss 6.108969 | lr 7.92e-04 | (3952.35 ms | 4145 tok/s)
step   89/8200 | train loss 6.105942 | lr 8.01e-04 | (3950.55 ms | 4147 tok/s)
step   90/8200 | train loss 6.084913 | lr 8.10e-04 | (3948.59 ms | 4149 tok/s)
step   91/8200 | train loss 6.107896 | lr 8.19e-04 | (3949.46 ms | 4148 tok/s)
